algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
NOC-RA,16,0.7,uniform,1000000,10,99.36652541338157
NOC-RA,16,0.7,uniform,1000000,20,99.37596762298885
NOC-RA,16,0.7,uniform,1000000,30,99.38378186542246
NOC-RA,16,0.7,uniform,1000000,40,99.39166122654302
NOC-RA,16,0.7,uniform,1000000,50,99.3975870270552
NOC-RA,16,0.7,uniform,1000000,100,99.41855524425206
NOC-RA,16,0.7,uniform,1000000,150,99.42897423416355
NOC-RA,16,0.7,uniform,1000000,200,99.4347697973018
NOC-RA,16,0.7,uniform,1000000,500,99.45580313318563
NOC-RA,16,0.7,uniform,1000000,1000,99.48706010292008
NOC-RA,16,0.7,uniform,1000000,3000,99.58884061061792
