algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,68362.73,70.70,70.69,70.94,70.70,70.70
READ_ATOMIC_CONST_ORT,1000,0.95,1,32,5,5,1000000,zipfian,0.99,45652.17,106.12,106.09,106.67,106.12,106.12
READ_ATOMIC_CONST_ORT,1000,0.95,1,64,5,5,1000000,zipfian,0.99,28994.61,166.71,166.68,167.27,166.71,166.71
READ_ATOMIC_CONST_ORT,1000,0.95,1,128,5,5,1000000,zipfian,0.99,15265.56,316.66,316.72,315.51,316.66,316.66
READ_ATOMIC_CONST_ORT,1000,0.95,1,256,5,5,1000000,zipfian,0.99,7576.80,638.19,638.06,640.67,638.19,638.19
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,66335.15,73.02,73.05,72.47,73.02,73.02
READ_ATOMIC_FASTOPW,1000,0.95,1,32,5,5,1000000,zipfian,0.99,38657.56,124.97,125.25,119.60,124.97,124.97
READ_ATOMIC_FASTOPW,1000,0.95,1,64,5,5,1000000,zipfian,0.99,19426.83,250.43,251.59,228.27,250.43,250.43
READ_ATOMIC_FASTOPW,1000,0.95,1,128,5,5,1000000,zipfian,0.99,7019.59,699.82,706.12,580.72,699.82,699.82
READ_ATOMIC_FASTOPW,1000,0.95,1,256,5,5,1000000,zipfian,0.99,3730.20,1300.81,1312.99,1069.05,1300.81,1300.81
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,60012.37,80.57,77.22,144.13,80.57,80.57
READ_ATOMIC_LIST,1000,0.95,1,32,5,5,1000000,zipfian,0.99,27459.56,176.15,171.13,271.59,176.15,176.15
READ_ATOMIC_LIST,1000,0.95,1,64,5,5,1000000,zipfian,0.99,10030.12,482.79,473.99,649.94,482.79,482.79
READ_ATOMIC_LIST,1000,0.95,1,128,5,5,1000000,zipfian,0.99,2571.65,1890.55,1863.29,2413.00,1890.55,1890.55
READ_ATOMIC_LIST,1000,0.95,1,256,5,5,1000000,zipfian,0.99,1007.14,4656.33,4606.85,5612.18,4656.33,4656.33
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,68472.90,70.64,70.29,77.30,70.64,70.64
READ_ATOMIC_LORA,1000,0.95,1,32,5,5,1000000,zipfian,0.99,37033.89,130.58,133.43,76.30,130.58,130.58
READ_ATOMIC_LORA,1000,0.95,1,64,5,5,1000000,zipfian,0.99,13638.23,354.93,365.65,151.75,354.93,354.93
READ_ATOMIC_LORA,1000,0.95,1,128,5,5,1000000,zipfian,0.99,4303.75,1131.21,1155.65,666.53,1131.21,1131.21
READ_ATOMIC_LORA,1000,0.95,1,256,5,5,1000000,zipfian,0.99,1343.89,3613.89,3647.51,2967.28,3613.89,3613.89
READ_ATOMIC_NOC,1000,0.95,1,16,5,5,1000000,zipfian,0.99,64311.86,75.36,68.54,204.90,75.36,75.36
READ_ATOMIC_NOC,1000,0.95,1,32,5,5,1000000,zipfian,0.99,42935.58,112.84,100.90,339.49,112.84,112.84
READ_ATOMIC_NOC,1000,0.95,1,64,5,5,1000000,zipfian,0.99,24467.73,197.76,176.00,609.63,197.76,197.76
READ_ATOMIC_NOC,1000,0.95,1,128,5,5,1000000,zipfian,0.99,13079.58,371.36,331.84,1124.50,371.36,371.36
READ_ATOMIC_NOC,1000,0.95,1,256,5,5,1000000,zipfian,0.99,6932.90,698.62,621.79,2150.30,698.62,698.62
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,38699.71,125.02,125.01,125.20,125.02,125.02
READ_ATOMIC_STAMP,1000,0.95,1,32,5,5,1000000,zipfian,0.99,17399.19,278.36,278.32,279.18,278.36,278.36
READ_ATOMIC_STAMP,1000,0.95,1,64,5,5,1000000,zipfian,0.99,6014.06,807.13,806.99,809.83,807.13,807.13
READ_ATOMIC_STAMP,1000,0.95,1,128,5,5,1000000,zipfian,0.99,2045.23,2387.66,2388.03,2380.61,2387.66,2387.66
READ_ATOMIC_STAMP,1000,0.95,1,256,5,5,1000000,zipfian,0.99,578.63,7782.92,7793.83,7575.30,7782.92,7782.92
